ID,Gender,MARITAL_STATUS,NATIONALITY,IsActiveMember,HasCrdCard,Balance,AGE,AREA_NAME,TYPE_CLIENT,Excited,Account-AGE
00BD7237A57D5AF9,male,others,TN,0,1,"3,05",80,AGENCE NABEUL (00),PP,1,43
0C2B8BF29FE47990,male,others,TN,0,1,"1,62",86,AGENCE GABES (41),PP,0,43
114A501E8CE7EB94,male,others,TN,1,1,"0,36",71,AGENCE CHARGUIA (64),PP,1,43
210E05A8C334049E,female,MARIE,TN,1,0,"'-1256,8",69,AGENCE RUE EL JAZIRA II (78),PP,1,43
2E05ED2F1E0F83C4,male,others,TN,1,0,"0,91",64,AGENCE NABEUL (00),PP,0,43
48D0A26537B29000,male,others,TN,0,0,"'-1016972,73",21,AGENCE CHARGUIA (64),PM,1,43
6FAF70F31C32D0D6,male,MARIE,TN,0,0,"'-131,05",75,AGENCE CHARGUIA (64),PP,1,43
8D89205E2605DA7C,female,others,TN,0,1,"4,14",70,AGENCE HAMMAMET (01),PP,0,43
A289BD2A5CC1A6D1,male,others,TN,1,1,"'-1031,43",97,AGENCE MAHDIA I (21),PP,1,43
A9980D02C7EFF368,male,MARIE,TN,1,0,"'-26,22",70,AGENCE RUE EL JAZIRA II (78),PP,1,43
AB58F8F20FE80DA4,male,others,TN,0,1,"'-534,49",21,AGENCE MAHDIA I (21),PM,0,43
ACA959C03F0461D6,female,MARIE,TN,0,1,"'-879,91",68,AGENCE NABEUL (00),PP,1,43
B30B6BDAEAB17587,male,others,TN,1,0,"3,12",74,AGENCE GABES (41),PP,0,43
D1F4257169FEA5F5,male,others,TN,1,1,"2,05",74,AGENCE GABES (41),PP,0,43
0DB69534B678D3CA,female,others,TN,1,0,"3,54",66,AGENCE MAHDIA I (21),PP,1,42
0F1075675DF12A74,female,others,TN,1,1,"0,63",73,AGENCE MAHDIA I (21),PP,1,42
21930D76B69A5A4C,male,MARIE,TN,1,1,"2,09",71,AGENCE GABES (41),PP,0,42
98530510D671726D,female,MARIE,TN,1,0,"'-271,32",75,AGENCE MAHDIA I (21),PP,1,42
DF7A94A988B77B5B,female,MARIE,TN,1,1,"'-13,75",66,AGENCE GABES (41),PP,0,42
04C693B5722F73E6,male,others,TN,1,0,"0,64",63,AGENCE MAHDIA I (21),PP,1,41
07EC83CF061F8228,female,MARIE,TN,1,1,"'-1893,55",26,AGENCE HAMMAMET (01),PP,0,41
33229D03523C8B81,female,others,TN,0,1,"3,91",67,AGENCE NABEUL (00),PP,0,41
